T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
Q9VT19	29.51506667	29.61823333	29.6136	29.52383333	29.56433333	29.49836667	29.5428	30.19576667	30.26656667
Q9VT33	24.76603333	25.22813333	23.8189	24.27426667	25.03206667	26.00256667	25.00043333	26.2394	25.34756667
Q9VT38	24.52343333	23.52036667	24.56966667	24.38	25.08043333	24.2483	25.18686667	25.41353333	25.35556667
Q9VT40	26.2888	26.04533333	26.63566667	26.41383333	26.03363333	26.4444	26.1193	26.85866667	26.96116667
Q9VT41	27.55653333	27.63226667	27.85743333	27.73883333	27.59353333	27.4472	27.17376667	27.26396667	27.29653333
Q9VT48	26.83433333	27.8946	27.39693333	27.04026667	25.62183333	27.4137	27.25366667	27.6062	27.7429
Q9VT57	23.8117	23.06586667	23.86486667	24.53816667	23.8248	24.20096667	23.56566667	24.37873333	24.23223333
Q9VT61	32.2665	31.75783333	32.6929	32.1597	32.2747	32.29553333	32.10003333	32.55916667	32.2335
Q9VT69	28.49883333	28.0926	28.0359	27.84383333	27.47173333	28.38803333	28.1462	27.70266667	27.29296667
Q9VT74	23.97833333	23.80113333	23.71163333	24.0937	23.53043333	24.1089	24.4204	24.45226667	24.6753
Q9VT75	27.9993	28.16283333	28.6455	27.66033333	28.213	28.0791	28.3263	28.72993333	29.12506667
Q9VTB0	23.13846667	23.90783333	24.36243333	23.7764	24.1583	24.45363333	24.61876667	24.40403333	24.44083333
Q9VTB3	27.919	27.23053333	28.0246	27.40583333	27.6387	27.42816667	27.93046667	28.15046667	28.20533333
Q9VTB4	27.55823333	27.10543333	27.40216667	27.33333333	27.19293333	27.17966667	27.5043	27.5613	27.63113333
Q9VTE0	27.12143333	26.68883333	26.2253	26.34126667	26.19253333	26.79816667	26.85433333	26.51623333	24.81736667
Q9VTE2	26.46183333	26.32563333	26.10833333	26.44406667	25.85273333	26.33823333	26.4503	26.70556667	26.7146
Q9VTE5	25.5896	25.4204	24.8736	25.4854	24.318	25.51246667	25.76386667	25.70573333	24.51096667
Q9VTE6	27.84656667	27.7368	27.70743333	27.90546667	27.6952	27.61193333	28.01413333	28.2886	28.3384
Q9VTF8	26.93916667	26.80476667	27.2248	26.86293333	27.203	27.16476667	26.96476667	27.4563	27.58796667
Q9VTG5	25.70746667	25.40793333	25.832	25.73126667	25.92516667	25.72496667	25.61116667	26.0068	25.9732
Q9VTJ8	23.9988	23.5211	23.8976	24.14153333	24.31493333	23.65253333	25.44176667	23.73213333	23.8829
Q9VTL1	25.94316667	26.12376667	26.17083333	26.57823333	26.13466667	26.32296667	26.38716667	26.53413333	26.3801
Q9VTM5	28.04156667	28.33046667	28.64286667	28.6822	28.45216667	28.4259	28.26546667	28.32126667	28.48846667
Q9VTP4	29.94983333	28.82536667	30.08513333	28.9197	29.80046667	29.79496667	30.39693333	30.41963333	30.69816667
Q9VTS3	29.11246667	29.56526667	28.3842	29.2699	28.92876667	28.94563333	29.33973333	29.12503333	29.21383333
Q9VTT0	24.5693	23.62923333	24.0538	25.09563333	23.5811	24.09323333	24.54966667	24.1207	23.79716667
